species,abundance estimate,confidence,reason
snow goose,1999-2009,low,Density based only on nest monitoring and uncertainty on goose colony area (mean)
snow goose,"2010-2019, 2022-2023",high,Intensive study area-wide monitoring based on several methods and annual colony outline
snowy owl,1996-2011,high,"Extrapolation from intensive nest monitoring (111 km2, R2=0.99, p<0.0001, n=10)"
snowy owl,"2012-2019, 2022-2023",high,Intensive study area-wide nest monitoring (389 km2)
glaucous gull,2004-2016,high,"Extrapolation from intensive nest monitoring (111 km2, R2=0.84, p=0.16, n=4)"
glaucous gull,"2017-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
peregrine falcon,"2013-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
rough legged hawk,2007-2012,high,"Extrapolation from intensive nest monitoring (111 km2, R2=0.99, p<0.0001, n=8)"
rough legged hawk,"2013-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
american golden plover,"2014-2019, 2022-2023",high,Distance sampling throughout lowland (313 km2)
cackling goose,2004-2016,moderate,"Extrapolation from exponential model of growth (R2=0.74, p=0.15, n=5)"
cackling goose,"2017-2019, 2022-2023",high,Intensive study area-wide nest monitoring (389 km2)
arctic fox,mean,moderate,Derived from extensive fox home range size studies (n=109)
collared lemming,"1995-2019, 2021-2022",moderate,Rigorous density estimates but at a small spatial scale (0.22 km2)
brown lemming,"1995-2019, 2021-2022",moderate,Rigorous density estimates but at a small spatial scale (0.22 km2)
ermine,1993-2019,moderate,Based on indirect indices and uncertainty on ermine home range size estimates
long tailed jaeger,"2004-2019, 2022",high,Extrapolation based on intensive nest monitoring (33 km2)
red throated loon,"2017-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
pacific loon,"2017-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
tundra swan,"2017-2019, 2022",high,Intensive study area-wide nest monitoring (389 km2)
common ringed plover,2015-2017,moderate,Nest monitoring on the main breeding sites
black bellied plover,mean,moderate,Derived from the abundance estimate of another species
lapland longspur,mean,moderate,Extrapolation from intensive nest monitoring (2 km2) and uncertain relation with large scale indices
bairds sandpiper,mean,moderate,Extrapolation from intensive nest monitoring (2 km2) and uncertain relation with large scale indices
sandhill crane,mean,moderate,Extrapolation from intensive nest monitoring (8 km2) and uncertain relation with large scale indices
king eider,mean,moderate,"Intensive, but opportunistic nest monitoring (8 km2)"
long tailed duck,mean,moderate,"Intensive, but opportunistic nest monitoring (8 km2)"
rock ptarmigan,mean,low,"Intensive, but opportunistic nest monitoring (8 km2) and prime nesting habitat not well sampled"
horned lark,mean,moderate,Derived from the abundance estimate of another species
ruddy turnstone,mean,low,Derived from the abundance estimate of another species
red phalarope,mean,low,Derived from the abundance estimate of another species
red knot,mean,low,Derived from the abundance estimate of another species
white rumped sandpiper,mean,low,Derived from the abundance estimate of another species
buff breasted sandpiper,mean,low,Derived from the abundance estimate of another species
pectoral sandpiper,mean,low,Derived from the abundance estimate of another species
parasitic jaeger,mean,low,Opportunistic nest monitoring and uncertainty about number of non-breeding individuals 
common raven,mean,low,Low density and uncertainty about number of non-breeding individuals
american pipit,mean,low,Derived from the abundance estimate of another species and prime nesting habitat not well sampled
snow bunting,mean,low,Derived from the abundance estimate of another species and prime nesting habitat not well sampled
arctic hare,mean,low,Prime habitat not well sampled
